Licencia,Categoría / Tipo,Precio,Territorio,Resumen Especialidades Cubiertas (FAM)
A,Mayores,"70,00 €","ANDALUCÍA, CEUTA Y MELILLA","Excursiones, Senderismo, Escalada, Vías Ferratas, Alpinismo, Esquí de Montaña, Descenso de Barrancos, Acampadas Alpinísticas, Raquetas de Nieve, Marcha Nórdica y Carreras por Montaña."
A+,Mayores,"83,00 €","ANDALUCÍA, CEUTA Y MELILLA","Incluye todo lo anterior + BTT, Espeleología, Esquí Alpino y Esquí Nórdico (no competitivos)."
A Familiar,Mayores,"68,00 €","ANDALUCÍA, CEUTA Y MELILLA","Excursiones, Senderismo, Escalada, Vías Ferratas, Alpinismo, Esquí de Montaña, Descenso de Barrancos, Acampadas Alpinísticas, Raquetas de Nieve, Marcha Nórdica y Carreras por Montaña."
A-IS,Inclusión Social,"44,00 €","ANDALUCÍA, CEUTA Y MELILLA","Excursiones, Senderismo, Escalada, Vías Ferratas, Alpinismo, Esquí de Montaña, Descenso de Barrancos, Acampadas Alpinísticas, Raquetas de Nieve, Marcha Nórdica, Carreras por Montaña."
A+IS,Inclusión Social,"58,00 €","ANDALUCÍA, CEUTA Y MELILLA","Incluye todo lo anterior + BTT, Espeleología, Esquí Alpino y Esquí Nórdico (no competitivos)."
A-ESP,Parados y Estudiantes Universitarios,"53,00 €","ANDALUCÍA, CEUTA Y MELILLA","Excursiones, Senderismo, Escalada, Vías Ferratas, Alpinismo, Esquí de Montaña, Descenso de Barrancos, Acampadas Alpinísticas, Raquetas de Nieve, Marcha Nórdica, Carreras por Montaña."
A-65,Mayores 65 años,"57,00 €","ANDALUCÍA, CEUTA Y MELILLA","Excursiones, Senderismo, Escalada, Vías Ferratas, Alpinismo, Esquí de Montaña, Descenso de Barrancos, Acampadas Alpinísticas, Raquetas de Nieve, Marcha Nórdica, Carreras por Montaña."
A NAC,Mayores,"77,00 €","ESPAÑA, ANDORRA, PIRINEO FRANCÉS, PORTUGAL Y MARRUECOS",Cobertura estándar. Nota: Licencia autonómica con cobertura deportiva en los territorios citados. Válida para actividades y competiciones autonómicas y refugios andaluces. No válida para competiciones/formaciones FEDME ni reciprocidad de refugios (requiere ampliación a Licencia B).
A NAC +,Mayores,"94,00 €","ESPAÑA, ANDORRA, PIRINEO FRANCÉS, PORTUGAL Y MARRUECOS","Cobertura estándar + BTT, Espeleología, Esquí Alpino y Nórdico. Nota: Mismas restricciones FEDME/Refugios que la A NAC."
B,Mayores,"91,00 €","ESPAÑA, ANDORRA, PIRINEO FRANCÉS, PORTUGAL Y MARRUECOS","Excursiones, Senderismo, Escalada, Vías Ferratas, Alpinismo, Esquí de Travesía, Descenso de Barrancos, Acampadas Alpinísticas, Raquetas de Nieve, Marcha Nórdica y Carreras por Montaña."
B-65,Mayores 65 años,"81,00 €","ESPAÑA, ANDORRA, PIRINEO FRANCÉS, PORTUGAL Y MARRUECOS","Excursiones, Senderismo, Escalada, Vías Ferratas, Alpinismo, Esquí de Travesía, Descenso de Barrancos, Acampadas Alpinísticas, Raquetas de Nieve, Marcha Nórdica y Carreras por Montaña."
B+,Mayores,"108,00 €","ESPAÑA, ANDORRA, PIRINEO FRANCÉS, PORTUGAL Y MARRUECOS","Incluye todo lo anterior + BTT, Espeleología, Esquí Alpino y Esquí Nórdico (no competitivos)."
B-Familiar,Mayores,"85,00 €","ESPAÑA, ANDORRA, PIRINEO FRANCÉS, PORTUGAL Y MARRUECOS","Excursiones, Senderismo, Escalada, Vías Ferratas, Alpinismo, Esquí de Travesía, Descenso de Barrancos, Acampadas Alpinísticas, Raquetas de Nieve, Marcha Nórdica y Carreras por Montaña."
B-IS,Inclusión Social,"73,00 €","ESPAÑA, ANDORRA, PIRINEO FRANCÉS, PORTUGAL Y MARRUECOS","Excursiones, Senderismo, Escalada, Vías Ferratas, Alpinismo, Esquí de Montaña, Descenso de Barrancos, Acampadas Alpinísticas, Raquetas de Nieve, Marcha Nórdica, Carreras por Montaña."
B+IS,Inclusión Social,"95,00 €","ESPAÑA, ANDORRA, PIRINEO FRANCÉS, PORTUGAL Y MARRUECOS","Incluye todo lo anterior + BTT, Espeleología, Esquí Alpino y Esquí Nórdico (no competitivos)."
C,Mayores,"152,00 €",EUROPA Y MARRUECOS,"Incluye todo lo anterior + BTT, Espeleología, Esquí Alpino y Esquí Nórdico (no competitivos)."
C-IS,Inclusión Social,"114,00 €",EUROPA Y MARRUECOS,"Incluye todo lo anterior + BTT, Espeleología, Esquí Alpino y Esquí Nórdico (no competitivos)."
D,Mayores,"240,00 €",TODO EL MUNDO (Hasta 7.000m),"Incluye todo lo anterior + BTT, Espeleología, Esquí Alpino y Esquí Nórdico (no competitivos)."
D2,Mayores,"945,00 €",TODO EL MUNDO (Más de 7.000m),"Incluye todo lo anterior + BTT, Espeleología, Esquí Alpino y Esquí Nórdico (no competitivos)."